"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"/home/lliwkunl/Documents/Air-Compass/README.md", "Markdown", 0, 1, 0, 0, 1
"/home/lliwkunl/Documents/Air-Compass/src/aerialnetwork.cpp", "C++", 18, 0, 89, 40, 147
"/home/lliwkunl/Documents/Air-Compass/src/aerialnetwork.h", "C++", 30, 0, 6, 8, 44
"/home/lliwkunl/Documents/Air-Compass/src/airplane.cpp", "C++", 73, 0, 0, 24, 97
"/home/lliwkunl/Documents/Air-Compass/src/airplane.h", "C++", 44, 0, 4, 11, 59
"/home/lliwkunl/Documents/Air-Compass/src/airport.h", "C++", 49, 0, 4, 7, 60
"/home/lliwkunl/Documents/Air-Compass/src/database.cpp", "C++", 35, 0, 6, 19, 60
"/home/lliwkunl/Documents/Air-Compass/src/database.h", "C++", 64, 0, 5, 18, 87
"/home/lliwkunl/Documents/Air-Compass/src/game.cpp", "C++", 10, 0, 0, 4, 14
"/home/lliwkunl/Documents/Air-Compass/src/game.h", "C++", 9, 0, 0, 2, 11
"/home/lliwkunl/Documents/Air-Compass/src/gamewindow.cpp", "C++", 296, 0, 20, 62, 378
"/home/lliwkunl/Documents/Air-Compass/src/gamewindow.h", "C++", 195, 0, 8, 24, 227
"/home/lliwkunl/Documents/Air-Compass/src/graph.cpp", "C++", 125, 0, 7, 33, 165
"/home/lliwkunl/Documents/Air-Compass/src/graph.h", "C++", 49, 0, 2, 9, 60
"/home/lliwkunl/Documents/Air-Compass/src/graphicelement.cpp", "C++", 57, 0, 1, 14, 72
"/home/lliwkunl/Documents/Air-Compass/src/graphicelement.h", "C++", 25, 0, 5, 10, 40
"/home/lliwkunl/Documents/Air-Compass/src/graphreader.cpp", "C++", 74, 0, 34, 20, 128
"/home/lliwkunl/Documents/Air-Compass/src/graphreader.h", "C++", 17, 0, 0, 4, 21
"/home/lliwkunl/Documents/Air-Compass/src/main.cpp", "C++", 120, 0, 12, 22, 154
"/home/lliwkunl/Documents/Air-Compass/src/travel.h", "C++", 20, 0, 3, 10, 33
"Total", "-", 1310, 1, 206, 341, 1858
