"filename", "language", "Markdown", "Database", "C++", "comment", "blank", "total"
"/home/toniobtz/Air-Compass/Database.db", "Database", 0, 33, 0, 0, 0, 33
"/home/toniobtz/Air-Compass/README.md", "Markdown", 1, 0, 0, 0, 0, 1
"/home/toniobtz/Air-Compass/src/aerialnetwork.cpp", "C++", 0, 0, 17, 6, 8, 31
"/home/toniobtz/Air-Compass/src/aerialnetwork.h", "C++", 0, 0, 28, 6, 7, 41
"/home/toniobtz/Air-Compass/src/airplane.cpp", "C++", 0, 0, 73, 0, 24, 97
"/home/toniobtz/Air-Compass/src/airplane.h", "C++", 0, 0, 43, 4, 9, 56
"/home/toniobtz/Air-Compass/src/airport.h", "C++", 0, 0, 63, 4, 7, 74
"/home/toniobtz/Air-Compass/src/database.cpp", "C++", 0, 0, 35, 6, 19, 60
"/home/toniobtz/Air-Compass/src/database.h", "C++", 0, 0, 107, 11, 24, 142
"/home/toniobtz/Air-Compass/src/game.cpp", "C++", 0, 0, 10, 0, 4, 14
"/home/toniobtz/Air-Compass/src/game.h", "C++", 0, 0, 9, 0, 2, 11
"/home/toniobtz/Air-Compass/src/gamewindow.cpp", "C++", 0, 0, 306, 22, 73, 401
"/home/toniobtz/Air-Compass/src/gamewindow.h", "C++", 0, 0, 159, 8, 25, 192
"/home/toniobtz/Air-Compass/src/graph.cpp", "C++", 0, 0, 125, 7, 33, 165
"/home/toniobtz/Air-Compass/src/graph.h", "C++", 0, 0, 49, 2, 9, 60
"/home/toniobtz/Air-Compass/src/graphicelement.cpp", "C++", 0, 0, 57, 1, 14, 72
"/home/toniobtz/Air-Compass/src/graphicelement.h", "C++", 0, 0, 25, 5, 10, 40
"/home/toniobtz/Air-Compass/src/graphreader.cpp", "C++", 0, 0, 74, 34, 20, 128
"/home/toniobtz/Air-Compass/src/graphreader.h", "C++", 0, 0, 17, 0, 4, 21
"/home/toniobtz/Air-Compass/src/main.cpp", "C++", 0, 0, 119, 13, 20, 152
"/home/toniobtz/Air-Compass/src/travel.h", "C++", 0, 0, 20, 3, 10, 33
"Total", "-", 1, 33, 1336, 132, 322, 1824
